assessment_id,question,provided_sources,answer,correctness_score_0_2,grounding_score_0_2,assessor_notes
11B5894AB796,Redis is unavailable to the application. What containment and recovery checks are required?,application/redis-unavailable.md; application/http-5xx-spike.md; containers/deployment-regression.md; containers/container-unhealthy.md,"Containment and Recovery Checks Required for Redis Unavailability:

1. Confirm the Redis container is running and inspect its health and logs.
2. From the application container, resolve the configured Redis hostname and test the port.
3. Check memory use, disk space, and restart count of the Redis container.
4. Verify that `REDIS_URL` uses a valid address for the current Docker network.

Recovery Actions:

- If Redis is restarted or crashed, attempt to restore it by restarting only after understanding why it stopped.
- Correct any misconfiguration in `REDIS_URL`.
- Recreate affected application containers if the Redis hostname is incorrect.
- Ensure data loss impact is understood before deleting the Redis volume.",,,
793A195C9CAB,Redis is unavailable to the application. What containment and recovery checks are required?,application/redis-unavailable.md; application/http-5xx-spike.md; containers/deployment-regression.md; containers/container-unhealthy.md,"Containment and Recovery Checks Required for Redis Unavailability:

1. Confirm the Redis container is running and inspect its health and logs.
2. From the application container, resolve the configured Redis hostname and test the port.
3. Check memory use, disk space, and restart count of the Redis container.
4. Verify that `REDIS_URL` uses a valid address for the current Docker network.

Recovery Actions:

- If Redis is restarted or crashed, attempt to restore it by restarting only after understanding why it stopped.
- Correct any misconfiguration in `REDIS_URL`.
- Recreate affected application containers if the Redis hostname is incorrect.
- Ensure data loss impact is understood before deleting the Redis volume.",,,
8D15E9D80D06,Redis is unavailable to the application. What containment and recovery checks are required?,,"Containment and Recovery Checks for Redis Unavailability:

1. **Check Redis Service Status**: Verify if Redis service is running on the host where it's supposed to be deployed.
2. **Review Logs**: Examine Redis logs for any error messages or warnings that might indicate why it’s unavailable.
3. **Network Connectivity**: Ensure there are no network issues preventing Redis from communicating with the application.
4. **Resource Utilization**: Check if Redis is running out of memory, CPU, or disk space.
5. **Configuration Review**: Confirm that Redis configuration settings (like port numbers) match those expected by the application.

Uncertainty Note: The exact steps can vary based on specific deployment environments and configurations. Always refer to official documentation for precise guidance.",,,
D7201439CD55,Redis is unavailable to the application. What containment and recovery checks are required?,,"Containment and Recovery Checks for Redis Unavailability:

1. **Check Redis Service Status**: Verify if Redis service is running on the host where it's supposed to be deployed.
2. **Review Logs**: Examine Redis logs for any error messages or warnings that might indicate why it’s unavailable.
3. **Network Connectivity**: Ensure there are no network issues preventing Redis from communicating with the application.
4. **Resource Utilization**: Check if Redis is running out of memory, CPU, or disk space.
5. **Configuration Review**: Confirm that Redis configuration settings (like port numbers) match those expected by the application.

Uncertainty Note: The exact steps can vary based on specific deployment environments and configurations. Always refer to official documentation for precise guidance.",,,
C3E0E84CB21B,Redis is unavailable to the application. What containment and recovery checks are required?,,"Containment and Recovery Checks for Redis Unavailability:

1. **Check Redis Service Status**: Verify if Redis service is running on the host where it's supposed to be deployed.
2. **Review Logs**: Examine Redis logs for any error messages or warnings that might indicate why it’s unavailable.
3. **Network Connectivity**: Ensure there are no network issues preventing Redis from communicating with the application.
4. **Resource Utilization**: Check if Redis is running out of memory, CPU, or disk space.
5. **Configuration Review**: Confirm that Redis configuration settings (like port numbers) match those expected by the application.

Uncertainty Note: The exact steps can vary based on specific deployment environments and configurations. Always refer to official documentation for precise guidance.",,,
7430D539AED9,The PostgreSQL connection pool is exhausted. What should be examined before increasing limits?,application/database-connection-exhaustion.md; application/http-5xx-spike.md; application/api-latency-high.md; infrastructure/load-average-high.md,"Before increasing PostgreSQL's global limit to address an exhausted connection pool issue, it is important to examine and fix any leaking connections or slow request paths within the application. Specifically, this involves stopping specific runaway workloads, identifying and fixing issues such as long-running transactions or idle-in-transaction sessions, and ensuring that connections are not being left open unnecessarily. Tuning the application's pool size should be done before increasing PostgreSQL's global limit to avoid moving the failure elsewhere (e.g., from connection exhaustion to memory exhaustion).",,,
220496E67C1E,The PostgreSQL connection pool is exhausted. What should be examined before increasing limits?,application/database-connection-exhaustion.md; application/http-5xx-spike.md; application/api-latency-high.md; infrastructure/load-average-high.md,"Before increasing PostgreSQL's global limit to address an exhausted connection pool issue, it is important to examine and fix connections that are being leaked or transactions left open within the application. This involves stopping specific runaway workloads and addressing any leaking or slow request paths in the application code. Additionally, ensuring that the application’s pool size does not exceed PostgreSQL's connection limits should be a priority.",,,
C900C60AFB7B,The PostgreSQL connection pool is exhausted. What should be examined before increasing limits?,application/database-connection-exhaustion.md; application/http-5xx-spike.md; application/api-latency-high.md; infrastructure/load-average-high.md,"Before increasing PostgreSQL's global limit to address an exhausted connection pool issue, it is important to examine and fix connections that are being leaked or transactions left open within the application. This involves stopping specific runaway workloads and addressing any leaking or slow request paths in the application code. Additionally, ensuring that the application’s pool size does not exceed PostgreSQL's connection limits should be a priority.",,,
DB8D637D324F,The PostgreSQL connection pool is exhausted. What should be examined before increasing limits?,,"Before increasing the PostgreSQL connection pool limits, examine the following:

1. Check for long-running queries that could benefit from optimization or execution tuning.
2. Review application patterns to ensure they are not causing excessive concurrent connections.
3. Investigate if there is a spike in database usage during specific times of day.
4. Look into any recent changes in the environment that might have increased load on the database.

Uncertainty: The effectiveness of these checks can vary depending on the actual cause, so it's important to address each finding individually.",,,
7AADF3E2C473,The PostgreSQL connection pool is exhausted. What should be examined before increasing limits?,,"Before increasing the PostgreSQL connection pool limits, examine the following:

1. Check for long-running queries that could benefit from optimization or execution tuning.
2. Review application patterns to ensure they are not causing excessive concurrent connections.
3. Investigate if there is a spike in database usage during specific times of day.
4. Look into any recent changes in the environment that might have increased load on the database.

Uncertainty: The effectiveness of these checks can vary depending on the actual cause, so it's important to address each finding individually.",,,
540BCF0402DE,The PostgreSQL connection pool is exhausted. What should be examined before increasing limits?,,"Before increasing the PostgreSQL connection pool limits, examine the following:

1. Check for long-running queries that could benefit from optimization or execution tuning.
2. Review application patterns to ensure they are not causing excessive concurrent connections.
3. Investigate if there is a spike in database usage during specific times of day.
4. Look into any recent changes in the environment that might have increased load on the database.

Uncertainty: The effectiveness of these checks can vary depending on the actual cause, so it's important to address each finding individually.",,,
1F1552ED5A60,Internal DNS resolution is failing. How should the operator isolate the fault?,infrastructure/dns-resolution-failure.md; infrastructure/network-latency.md; application/http-5xx-spike.md; observability/loki-ingestion-gap.md,"To isolate the internal DNS resolution failure, the operator should:

1. Use `getent hosts <hostname>` to resolve a known hostname from both the VPS and inside affected containers.
2. Inspect `/etc/resolv.conf` for any discrepancies between host and container configurations.
3. Test another known hostname to determine if the issue is specific to one record or affecting multiple services.
4. Check Cloudflare Tunnel logs and container logs for any indications of DNS resolution issues, as this service might be involved in internal DNS requests.

If these steps do not pinpoint the exact cause, further investigation into upstream DNS records and application configurations may be necessary.",,,
157AF23EDB7D,Internal DNS resolution is failing. How should the operator isolate the fault?,infrastructure/dns-resolution-failure.md; infrastructure/network-latency.md; application/http-5xx-spike.md; observability/loki-ingestion-gap.md,"To isolate the fault in internal DNS resolution failure:

1. From a VPS, use `getent hosts <hostname>` to resolve the hostname and verify it resolves correctly.
2. Repeat this lookup inside an affected container to check for discrepancies between host and container environments.
3. Inspect `/etc/resolv.conf` on both the host and in the container to identify any differences or misconfigurations.
4. Test a known working hostname to distinguish if one specific DNS record is faulty or if there's a broader issue affecting all DNS lookups.

If these steps confirm that only certain services are affected, further investigation into those services' configurations might be needed. If all containers show the same failure, it could indicate an issue with Docker DNS or upstream DNS records.",,,
234531C6D78E,Internal DNS resolution is failing. How should the operator isolate the fault?,infrastructure/dns-resolution-failure.md; infrastructure/network-latency.md; application/http-5xx-spike.md; observability/loki-ingestion-gap.md,"To isolate the fault in internal DNS resolution failure:

1. From a VPS, use `getent hosts <hostname>` to resolve the hostname and verify it resolves correctly.
2. Repeat this lookup inside an affected container to check for discrepancies between host and container environments.
3. Inspect `/etc/resolv.conf` on both the host and in the container to identify any differences or misconfigurations.
4. Test a known working hostname to distinguish if one specific DNS record is faulty or if there's a broader issue affecting all DNS lookups.

If these steps confirm that only certain services are affected, further investigation into those services' configurations might be needed. If all containers show the same failure, it could indicate an issue with Docker DNS or upstream DNS records.",,,
A31886A48E28,Internal DNS resolution is failing. How should the operator isolate the fault?,,"To isolate the fault in internal DNS resolution issues, follow these steps:

1. **Check Logs**: Review logs from DNS servers (e.g., BIND, PowerDNS) for any error messages or warnings that might indicate what's going wrong.
2. **Test Connectivity**: Ensure there are no network connectivity issues between your DNS server and other critical systems by pinging the DNS server from another machine within the same subnet.
3. **Verify Configuration**: Check if DNS records have been updated correctly in the DNS configuration files (e.g., zone files, hosts file). Look for any syntax errors or misconfigurations.
4. **DNS Server Status**: Verify that your DNS servers are up and running without issues by pinging them from another machine within the network.
5. **Client Resolution Testing**: Test if clients can resolve internal domain names to IP addresses correctly. This helps determine if the issue is with the client configuration or server-side.
6. **Isolate Specific Hosts**: If possible, test DNS resolution on specific hosts to identify whether the problem affects a particular segment of your network.

Uncertainty remains regarding the exact cause without further diagnostic steps. Continue testing and logging until you pinpoint where the failure occurs.",,,
91094499BA73,Internal DNS resolution is failing. How should the operator isolate the fault?,,"To isolate the fault in internal DNS resolution issues, follow these steps:

1. **Check Logs**: Review logs from DNS servers (e.g., BIND, PowerDNS) for any error messages or warnings that might indicate what's going wrong.
2. **Test Connectivity**: Ensure there are no network connectivity issues between your DNS server and other critical systems by pinging the DNS server from another machine within the same subnet.
3. **Verify Configuration**: Check if DNS records have been updated correctly in the DNS configuration files (e.g., zone files, hosts file). Look for any syntax errors or misconfigurations.
4. **DNS Server Status**: Verify that your DNS servers are up and running without issues by pinging them from another machine within the network.
5. **Client Resolution Testing**: Test if clients can resolve internal domain names to IP addresses correctly. This helps determine if the issue is with the client configuration or server-side.
6. **Isolate Specific Hosts**: If possible, test DNS resolution on specific hosts to identify whether the problem affects a particular segment of your network.

Uncertainty remains regarding the exact cause without further diagnostic steps. Continue testing and logging until you pinpoint where the failure occurs.",,,
AE3B5865E210,Internal DNS resolution is failing. How should the operator isolate the fault?,,"To isolate the fault in internal DNS resolution issues, follow these steps:

1. **Check Logs**: Review logs from DNS servers (e.g., BIND, PowerDNS) for any error messages or warnings that might indicate what's going wrong.
2. **Test Connectivity**: Ensure there are no network connectivity issues between your DNS server and other critical systems by pinging the DNS server from another machine within the same subnet.
3. **Verify Configuration**: Check if DNS records have been updated correctly in the DNS configuration files (e.g., zone files, hosts file). Look for any syntax errors or misconfigurations.
4. **DNS Server Status**: Verify that your DNS servers are up and running without issues by pinging them from another machine within the network.
5. **Client Resolution Testing**: Test if clients can resolve internal domain names to IP addresses correctly. This helps determine if the issue is with the client configuration or server-side.
6. **Isolate Specific Hosts**: If possible, test DNS resolution on specific hosts to identify whether the problem affects a particular segment of your network.

Uncertainty remains regarding the exact cause without further diagnostic steps. Continue testing and logging until you pinpoint where the failure occurs.",,,
5AA7FB97DC3B,One IP is producing repeated SSH authentication failures. What review and response steps apply?,security/ssh-brute-force.md; security/http-brute-force.md; security/port-scan.md; infrastructure/network-latency.md,"For a confirmed hostile IP in the case of repeated SSH authentication failures:

1. **Review InfraGuard CrowdSec Decision**: Check if there's an active ban for the source IP related to SSH.
2. **Apply Ban**: If the decision is active, follow the suggested duration (48 hours) and apply it as per the runbook.
3. **Revoke Credentials**: Revocation of affected credentials should be reviewed and executed where necessary.
4. **Restrict SSH**: Prefer key-only authentication and restrict SSH at the network layer if needed.
5. **Monitor Further**: Ensure that only authorised administrators can still connect through approved paths.

If a successful login occurred, additional steps like revoking credentials or changing them might also be required to secure the account.",,,
769B853D2567,One IP is producing repeated SSH authentication failures. What review and response steps apply?,security/ssh-brute-force.md; security/http-brute-force.md; security/port-scan.md; infrastructure/network-latency.md,"For a confirmed hostile IP in the case of repeated SSH authentication failures:

1. Review and apply the InfraGuard CrowdSec decision; the suggested SSH ban lasts 48 hours.
2. Revoke affected credentials if they were used successfully.
3. Restrict SSH at the network layer and prefer key-only authentication.
4. Do not lock out the only verified administration path during an active incident.",,,
DFADE2B7724B,One IP is producing repeated SSH authentication failures. What review and response steps apply?,security/ssh-brute-force.md; security/http-brute-force.md; security/port-scan.md; infrastructure/network-latency.md,"For a confirmed hostile IP in the case of repeated SSH authentication failures:

1. Review and apply the InfraGuard CrowdSec decision; the suggested SSH ban lasts 48 hours.
2. Revoke affected credentials if they were used successfully.
3. Restrict SSH at the network layer and prefer key-only authentication.
4. Do not lock out the only verified administration path during an active incident.",,,
1E67D52BE09A,One IP is producing repeated SSH authentication failures. What review and response steps apply?,,"Review the access logs to identify patterns or specific times when these failures occur. Check if there are any recent changes in network security policies that might affect SSH connections. Verify firewall rules for SSH traffic, ensuring they are correctly configured and not blocking legitimate connections.

Next, check the server's SSH configuration file (sshd_config) for any potential misconfigurations such as incorrect port settings or overly strict authentication requirements. Ensure that the IP address causing failures is allowed in the sshd_config file.

If the issue persists, consider temporarily disabling firewall rules to see if they are indeed blocking legitimate traffic. Alternatively, you might want to check for brute force attacks by monitoring SSH login attempts and possibly increasing the lockout time or threshold for failed login attempts.

Finally, implement additional security measures such as using strong authentication methods (e.g., public key authentication) and enabling two-factor authentication where possible.",,,
EA2157C651DF,One IP is producing repeated SSH authentication failures. What review and response steps apply?,,"Review the access logs to identify patterns or specific times when these failures occur. Check if there are any recent changes in network security policies that might affect SSH connections. Verify firewall rules for SSH traffic, ensuring they are correctly configured and not blocking legitimate connections.

Next, check the server's SSH configuration file (sshd_config) for any potential misconfigurations such as incorrect port settings or overly strict authentication requirements. Ensure that the IP address causing failures is allowed in the sshd_config file.

If the issue persists, consider temporarily disabling firewall rules to see if they are indeed blocking legitimate traffic. Alternatively, you might want to check for brute force attacks by monitoring SSH login attempts and possibly increasing the lockout time or threshold for failed login attempts.

Finally, implement additional security measures such as using strong authentication methods (e.g., public key authentication) and enabling two-factor authentication where possible.",,,
022CD7DA8BF8,One IP is producing repeated SSH authentication failures. What review and response steps apply?,,"Review the access logs to identify patterns or specific times when these failures occur. Check if there are any recent changes in network security policies that might affect SSH connections. Verify firewall rules for SSH traffic, ensuring they are correctly configured and not blocking legitimate connections.

Next, check the server's SSH configuration file (sshd_config) for any potential misconfigurations such as incorrect port settings or overly strict authentication requirements. Ensure that the IP address causing failures is allowed in the sshd_config file.

If the issue persists, consider temporarily disabling firewall rules to see if they are indeed blocking legitimate traffic. Alternatively, you might want to check for brute force attacks by monitoring SSH login attempts and possibly increasing the lockout time or threshold for failed login attempts.

Finally, implement additional security measures such as using strong authentication methods (e.g., public key authentication) and enabling two-factor authentication where possible.",,,
CC40A8C97E1F,A service regressed immediately after deployment. What evidence supports rollback or continued diagnosis?,containers/deployment-regression.md; application/http-5xx-spike.md; containers/container-restart-loop.md; observability/loki-ingestion-gap.md,"To support either a rollback or continued diagnosis of a service regression that occurred immediately after deployment:

- **Evidence from Before and After Deployment**: Record the exact time of the deployment, image tag/digest used, and any changed configuration. Compare health, logs, and key requests before and after this period to identify differences.
- **Service Impact Assessment**: Determine if the failure affects one service or the whole stack. This helps in understanding the scope of the issue.
- **Compatibility Review**: Verify that the previous image is still available and understand its database compatibility.

Based on these checks, if a simple configuration mistake can be identified as the cause (e.g., an incorrect value for an environment variable), it might support proceeding with a rollback. If more investigation is needed to confirm or correct the issue, continued diagnosis may be warranted.",,,
07B43F84DD54,A service regressed immediately after deployment. What evidence supports rollback or continued diagnosis?,containers/deployment-regression.md; application/http-5xx-spike.md; containers/container-restart-loop.md; observability/loki-ingestion-gap.md,"To support either a rollback or continued diagnosis of a service regression that occurred shortly after deployment:

- **Evidence to Support Rollback**: 
  - Record the exact deployment time, image tag/digest, and changed configuration.
  - Compare health, logs, and key requests before and after the deployment time.
  - Confirm whether the failure affects one specific service or the whole stack.
  - Verify that the previous image is still available and its database compatibility is understood.

- **Evidence to Support Continued Diagnosis**:
  - Document all changes made during the deployment (image/tag/digest, configuration updates).
  - Review logs for any anomalies before and after the deployment time.
  - Check if there are any known issues or dependencies that could have caused the regression.",,,
DAE399257E65,A service regressed immediately after deployment. What evidence supports rollback or continued diagnosis?,containers/deployment-regression.md; application/http-5xx-spike.md; containers/container-restart-loop.md; observability/loki-ingestion-gap.md,"To support either a rollback or continued diagnosis of a service regression that occurred shortly after deployment:

- **Evidence to Support Rollback**: 
  - Record the exact deployment time, image tag/digest, and changed configuration.
  - Compare health, logs, and key requests before and after the deployment time.
  - Confirm whether the failure affects one specific service or the whole stack.
  - Verify that the previous image is still available and its database compatibility is understood.

- **Evidence to Support Continued Diagnosis**:
  - Document all changes made during the deployment (image/tag/digest, configuration updates).
  - Review logs for any anomalies before and after the deployment time.
  - Check if there are any known issues or dependencies that could have caused the regression.",,,
AE3A135D5631,A service regressed immediately after deployment. What evidence supports rollback or continued diagnosis?,,"To determine whether to rollback or continue diagnosing a regressed service post-deployment, consider the following points as evidence:

1. **Performance Metrics**: Check if key performance indicators (KPIs) have significantly degraded since deployment. If so, this suggests an issue that may require immediate attention.

2. **Error Logs and Alerts**: Review logs for error messages or alerts related to the service's functionality post-deployment. These can indicate specific issues causing regression.

3. **User Feedback**: Monitor user feedback for complaints about the service’s performance or behavior. User dissatisfaction often correlates with a need for quick resolution.

4. **Test Results**: Assess if automated tests that were green before deployment are now failing. This indicates potential regressions in functionality post-deployment.

5. **System Health Indicators**: Examine system health metrics such as CPU usage, memory consumption, and network traffic to identify any anomalies related to the service.

6. **Historical Data**: Compare current performance with historical data for this service to gauge if recent changes are causing a regression.

Uncertainty remains in deciding between rollback or continued diagnosis; choose based on severity of impact and available evidence. If immediate action is required, consider rolling back first to mitigate further damage before diagnosing the root cause.",,,
DCA1CC83082B,A service regressed immediately after deployment. What evidence supports rollback or continued diagnosis?,,"To determine whether to rollback or continue diagnosing a regressed service post-deployment, consider the following points as evidence:

1. **Performance Metrics**: Check if key performance indicators (KPIs) have significantly degraded since deployment. If so, this suggests an issue that may require immediate attention.

2. **Error Logs and Alerts**: Review logs for error messages or alerts related to the service's functionality post-deployment. These can indicate specific issues causing regression.

3. **User Feedback**: Monitor user feedback for complaints about the service’s performance or behavior. User dissatisfaction often correlates with a need for quick resolution.

4. **Test Results**: Assess if automated tests that were green before deployment are now failing. This indicates potential regressions in functionality post-deployment.

5. **System Health Indicators**: Examine system health metrics such as CPU usage, memory consumption, and network traffic to identify any anomalies related to the service.

6. **Historical Data**: Compare current performance with historical data for this service to gauge if recent changes are causing a regression.

Uncertainty remains in deciding between rollback or continued diagnosis; choose based on severity of impact and available evidence. If immediate action is required, consider rolling back first to mitigate further damage before diagnosing the root cause.",,,
79E808FC229D,A service regressed immediately after deployment. What evidence supports rollback or continued diagnosis?,,"To determine whether to rollback or continue diagnosing a regressed service post-deployment, consider the following points as evidence:

1. **Performance Metrics**: Check if key performance indicators (KPIs) have significantly degraded since deployment. If so, this suggests an issue that may require immediate attention.

2. **Error Logs and Alerts**: Review logs for error messages or alerts related to the service's functionality post-deployment. These can indicate specific issues causing regression.

3. **User Feedback**: Monitor user feedback for complaints about the service’s performance or behavior. User dissatisfaction often correlates with a need for quick resolution.

4. **Test Results**: Assess if automated tests that were green before deployment are now failing. This indicates potential regressions in functionality post-deployment.

5. **System Health Indicators**: Examine system health metrics such as CPU usage, memory consumption, and network traffic to identify any anomalies related to the service.

6. **Historical Data**: Compare current performance with historical data for this service to gauge if recent changes are causing a regression.

Uncertainty remains in deciding between rollback or continued diagnosis; choose based on severity of impact and available evidence. If immediate action is required, consider rolling back first to mitigate further damage before diagnosing the root cause.",,,
